ALLEGRO,        ALE,    52.4600,         0.6600,     1.27%,     0.0921%,    4.5146%,      309 375 000,         7.25%
ASSECOPOL,      ACP,    70.2500,        -0.2500,    -0.35%,    -0.0061%,    0.4763%,       55 869 000,         1.75%
CCC,            CCC,    120.8500,       -1.7500,    -1.43%,    -0.0292%,    2.6651%,       37 790 000,         2.04%
CDPROJEKT,      CDR,    158.4400,        4.1800,     2.71%,     0.1360%,   10.0208%,       70 918 000,          5.02%
CYFRPLSAT,      CPS,    28.9800,        -0.3400,    -1.16%,    -0.0414%,    0.7779%,      275 301 000,         3.57%
DINOPL,         DNP,    272.5000,       -0.9000,    -0.33%,    -0.0192%,    2.9388%,       47 880 000,         5.83%
JSW,            JSW,    31.0900,        -0.2400,    -0.77%,    -0.0056%,    1.3534%,       52 636 000,         0.73%
KGHM,           KGH,    221.0000,       -0.3000,    -0.14%,    -0.0189%,    4.7054%,      136 410 000,        13.48%
LOTOS,          LTS,    49.6300,        -2.7500,    -5.25%,    -0.1008%,   10.5756%,       86 543 000,         1.92%
LPP,            LPP,    10500.0000,   -800.0000,    -7.08%,    -0.3505%,    7.2734%,        1 054 000,         4.95%
MERCATOR,       MRC,    241.7000,       -0.5000,    -0.21%,    -0.0009%,    2.2897%,        4 048 000,         0.44%
ORANGEPL,       OPL,    6.7400,         -0.1200,    -1.75%,    -0.0341%,    0.3280%,      647 357 000,         1.95%
PEKAO,          PEO,    83.7800,        -0.7600,    -0.90%,    -0.0595%,    3.4939%,      176 379 000,         6.61%
PGE,            PGE,    9.6800,         -0.0480,    -0.49%,    -0.0169%,    2.0192%,      796 776 000,         3.45%
PGNIG,          PGN,    6.7200,         -0.0800,    -1.18%,    -0.0576%,    2.0012%,    1 624 608 000,         4.88%
PKNORLEN,       PKN,    73.0200,         0.8200,     1.14%,     0.1075%,   11.6052%,      289 049 000,         9.43%
PKOBP,          PKO,    33.8400,        -0.6600,    -1.91%,    -0.2477%,   16.8254%,      857 593 000,        12.97%
PZU,            PZU,    34.6000,        -0.5900,    -1.68%,    -0.1477%,    8.9997%,      568 305 000,         8.79%
SANPL,          SPL,    229.1000,       -3.3000,    -1.42%,    -0.0484%,    1.7605%,       33 308 000,         3.41%
TAURONPE,       TPE,    3.2800,         -0.0890,    -2.64%,    -0.0404%,    0.9873%,    1 043 590 000,         1.53%
